new_cases,positive_test_rate,total_vaccinations,people_fully_vaccinated,new_deaths
20150,0.1457,1314641,231503,344
15872,0.1384,1314641,231503,349
18409,0.1358,1314641,231503,338
17076,0.1336,1485287,253635,335
13576,0.1296,1485287,253635,283
14141,0.1246,1485287,253635,386
18408,0.122,1767570,292134,351
18133,0.1199,1767570,292134,307
16409,0.1205,1767570,292134,366
14246,0.1162,1767570,292134,297
10145,0.1093,1767570,292134,202
7723,0.1038,1767570,292134,200
11291,0.1014,1767570,292134,303
14319,0.0977,2329379,350212,286
13930,0.0936,2329379,350212,310
12789,0.09,2329379,350212,233
12428,0.0884,2329379,350212,229
11250,0.0897,2329379,350212,200
8005,0.091,2329379,350212,187
8631,0.0891,2329379,350212,216
11005,0.0864,3141577,403073,251
11873,0.0848,3141577,403073,208
10468,0.0828,3141577,403073,163
9994,0.0811,3141577,403073,165
10253,0.081,3141577,403073,184
7107,0.0795,3141577,403073,173
8876,0.0793,3141577,403073,198
11042,0.0789,3141577,403073,217
10687,0.0778,3141577,403073,171
11620,0.0794,3141577,403073,161
9657,0.0787,3141577,403073,170
9209,0.0771,3141577,403073,155
6442,0.0766,3141577,403073,128
5612,0.0731,3141577,403073,122
4907,0.0663,3141577,403073,120
8846,0.064,4553653,637870,179
10598,0.0627,4553653,637870,157
12398,0.0658,4553653,637870,153
9966,0.0667,4553653,637870,124
7444,0.0679,4553653,637870,115
8195,0.0709,4553653,637870,187
10715,0.0775,4792881,808786,119
10216,0.0791,4792881,808786,134
10487,0.0792,4792881,808786,129
10291,0.0767,4792881,808786,139
10100,0.0768,4792881,808786,127
6448,0.0756,4792881,808786,108
8161,0.0755,4792881,808786,111
10485,0.0751,4968642,955000,136
11716,0.077,4968642,955000,116
11059,0.0777,4968642,955000,112
11734,0.0796,4968642,955000,144
10820,0.0807,4968642,955000,115
7034,0.0822,4968642,955000,123
9758,0.0848,4968642,955000,134
12351,0.0879,4968642,955000,140
12717,0.092,5717914,1641010,142
11748,0.096,5717914,1641010,137
14303,0.1027,5717914,1641010,125
13836,0.1106,5717914,1641010,127
8341,0.1186,5717914,1641010,111
13781,0.1317,5717914,1641010,165
16025,0.1459,5717914,1641010,157
16080,0.1563,5717914,1641010,146
17212,0.1702,5717914,1641010,166
23391,0.1913,5717914,1641010,136
16596,0.2023,5717914,1641010,146
11664,0.2083,5717914,1641010,151
17664,0.2153,5717914,1641010,165
20829,0.2239,5717914,1641010,182
22750,0.2365,6530124,2139782,166
23371,0.2493,6530124,2139782,184
23655,0.252,6530124,2139782,201
21885,0.2641,6530124,2139782,199
15139,0.273,6530124,2139782,175
22184,0.2845,6530124,2139782,195
25441,0.2964,8155411,2289095,213
27444,0.3067,8155411,2289095,250
27379,0.3157,8155411,2289095,213
20313,0.3132,8155411,2289095,226
21814,0.3171,8155411,2289095,210
18632,0.3282,8155411,2289095,259
27146,0.3421,8155411,2289095,268
31814,0.3593,10168674,2426738,322
34951,0.3817,10168674,2426738,357
33817,0.4026,10168674,2426738,303
34433,0.4357,10168674,2426738,292
24715,0.4484,10168674,2426738,270
19846,0.4577,10168674,2426738,286
32511,0.4767,10168674,2426738,366
37189,0.4962,12388974,2773061,411
39019,0.5042,12388974,2773061,378
39357,0.5156,12388974,2773061,409
38674,0.5239,12388974,2773061,434
34913,0.5375,12388974,2773061,458
26439,0.5147,12388974,2773061,387
39619,0.4958,12388974,2773061,542
40808,0.4729,16213714,3152074,588
39139,0.444,16213714,3152074,508
42541,0.4233,16213714,3152074,536
39049,0.4018,16213714,3152074,568
39119,0.3927,16213714,3152074,527
